accelerationTime,bodyType,brand,cargoVolume,curbWeight,driveWheelConfiguration,eLabel,emissionsCO2,engineCapacity,fuelCapacity,fuelConsumption,height,length,model,modelDate,numberOfDoors,numberOfForwardGears,payload,price,roofLoad,seatingCapacity,speed,torque,vEengineDisplacement,vEenginePower,vehicleTransmission,weightTotal,wheelbase,width
11.2,13,16,376.0,1068.0,0,6,174.0,1495.0,55.0,7.3,1395.0,4450.0,228,1998,4,5,582.0,14.972,50.0,5.0,178.0,129.0,1495.0,65.0,2,1650.0,2550.0,1700.0
13.6,13,16,376.0,1093.0,0,6,210.0,1495.0,55.0,8.8,1395.0,4450.0,228,1998,4,4,557.0,16.334,50.0,5.0,166.0,129.0,1495.0,65.0,0,1650.0,2550.0,1700.0
8.8,13,16,376.0,1126.0,0,6,196.0,1976.0,55.0,8.2,1395.0,4450.0,228,1998,4,5,559.0,16.561,50.0,5.0,202.0,182.0,1976.0,102.0,2,1685.0,2550.0,1700.0
11.1,13,16,376.0,1156.0,0,6,229.0,1976.0,55.0,9.6,1395.0,4450.0,228,1998,4,4,529.0,17.922,50.0,5.0,187.0,182.0,1976.0,102.0,0,1685.0,2550.0,1700.0
10.5,13,16,376.0,1085.0,0,6,184.0,1599.0,55.0,7.7,1395.0,4450.0,228,1998,4,5,600.0,15.88,50.0,5.0,193.0,143.0,1599.0,84.0,2,1685.0,2550.0,1700.0
15.8,18,16,889.0,859.0,0,6,140.0,1086.0,35.0,5.9,1570.0,3565.0,220,2003,5,5,477.0,9.845,30.0,5.0,146.0,89.0,1086.0,43.0,2,1336.0,2380.0,1525.0
15.2,18,16,889.0,859.0,0,5,131.0,1086.0,35.0,5.5,1570.0,3565.0,220,2005,5,5,477.0,8.995,30.0,5.0,148.0,97.0,1086.0,46.0,2,1336.0,2380.0,1525.0
15.2,18,16,889.0,859.0,0,5,131.0,1086.0,35.0,5.5,1570.0,3565.0,220,2005,5,5,477.0,9.845,30.0,5.0,148.0,97.0,1086.0,46.0,2,1336.0,2380.0,1525.0
15.8,18,16,889.0,859.0,0,6,140.0,1086.0,35.0,5.9,1570.0,3565.0,220,2003,5,5,477.0,8.995,30.0,5.0,146.0,89.0,1086.0,43.0,2,1336.0,2380.0,1525.0
13.0,21,16,2000.0,1955.0,1,6,222.0,2902.0,75.0,8.7,1800.0,4710.0,234,2004,5,5,555.0,43.595,34.0,5.0,168.0,345.0,2902.0,120.0,2,2510.0,2750.0,1860.0
14.8,21,16,2000.0,1966.0,1,6,260.0,2902.0,75.0,9.8,1800.0,4710.0,234,2001,5,4,544.0,40.395,34.0,5.0,168.0,333.0,2902.0,110.0,0,2510.0,2750.0,1860.0
13.7,21,16,2000.0,1955.0,1,6,227.0,2902.0,75.0,8.6,1800.0,4710.0,234,2001,5,5,555.0,38.595,34.0,5.0,166.0,333.0,2902.0,110.0,2,2510.0,2750.0,1860.0
13.7,21,16,2000.0,1955.0,1,6,227.0,2902.0,75.0,8.6,1800.0,4710.0,234,2001,5,5,555.0,42.395,34.0,5.0,166.0,333.0,2902.0,110.0,2,2510.0,2750.0,1860.0
10.7,13,16,523.0,1560.0,0,6,159.0,1991.0,70.0,6.0,1475.0,4800.0,233,2008,4,6,590.0,33.995,100.0,5.0,203.0,305.0,1991.0,110.0,2,2150.0,2730.0,1832.0
10.7,13,16,523.0,1560.0,0,6,159.0,1991.0,70.0,6.0,1475.0,4800.0,233,2008,4,6,590.0,31.495,100.0,5.0,203.0,305.0,1991.0,110.0,2,2150.0,2730.0,1832.0
8.9,13,16,523.0,1438.0,0,6,195.0,2359.0,65.0,8.3,1475.0,4800.0,233,2005,4,5,592.0,24.495,100.0,5.0,212.0,219.0,2359.0,119.0,2,2030.0,2730.0,1832.0
8.9,13,16,523.0,1438.0,0,6,195.0,2359.0,65.0,8.3,1475.0,4800.0,233,2005,4,5,592.0,26.495,100.0,5.0,212.0,219.0,2359.0,119.0,2,2030.0,2730.0,1832.0
10.4,13,16,523.0,1446.0,0,6,205.0,2359.0,65.0,8.7,1475.0,4800.0,233,2005,4,4,584.0,28.79,100.0,5.0,202.0,219.0,2359.0,119.0,0,2030.0,2730.0,1832.0
8.9,13,16,523.0,1438.0,0,6,195.0,2359.0,65.0,8.3,1475.0,4800.0,233,2005,4,5,592.0,28.495,100.0,5.0,212.0,219.0,2359.0,119.0,2,2030.0,2730.0,1832.0
10.4,13,16,523.0,1446.0,0,6,205.0,2359.0,65.0,8.7,1475.0,4800.0,233,2005,4,4,584.0,30.79,100.0,5.0,202.0,219.0,2359.0,119.0,0,2030.0,2730.0,1832.0
11.6,13,16,523.0,1580.0,0,6,184.0,1991.0,70.0,7.0,1475.0,4800.0,233,2008,4,4,570.0,34.49,100.0,5.0,200.0,305.0,1991.0,110.0,0,2150.0,2730.0,1832.0
9.6,13,16,396.0,1296.0,0,6,213.0,1997.0,65.0,8.9,1410.0,4710.0,233,1998,4,5,614.0,21.325,100.0,5.0,199.0,180.0,1997.0,100.0,2,1910.0,2700.0,1818.0
